#{"t_start": 1746424327.518247, "env_id": null}
r,l,t
-740.617908,1428,1262.27058
-1747.57074,1428,1274.802616
-1511.511401,1428,1287.119833
-1464.537604,1428,1299.547366
-1542.504682,1428,1311.906048
-1218.198782,1428,1324.244316
-1110.553315,1428,1336.620798
-1197.694663,1428,1348.981548
-1424.705766,1428,1361.066544
-1613.588522,1428,1373.041107
-1078.281799,1428,1385.077889
-1426.628233,1428,1397.034077
-1305.746801,1428,1408.959223
-1660.368427,1428,1420.844049
-1395.968666,1428,1432.773859
-1983.07771,1428,1444.733795
-1214.562514,1428,1456.600595
-1883.081962,1428,1468.375409
-1294.670676,1428,1480.209916
-1536.569017,1428,1492.321231
-997.028114,1428,1504.497601
-1064.860426,1428,1516.596182
-1020.88176,1428,1528.67389
-1219.632951,1428,1540.631063
-1273.11897,1428,1552.646253
-1773.560435,1428,1564.523635
-1423.215751,1428,1576.401495
-1157.497966,1428,1588.20457
-2257.644706,1428,1600.200458
-1201.102623,1428,1612.104634
-1095.311504,1428,1624.00538
-1372.017338,1428,1636.020016
-1637.309587,1428,1648.044063
-966.609585,1428,1660.059831
-1362.480536,1428,1672.207841
-1038.081779,1428,1684.50989
-1732.216271,1428,1696.981277
-1142.858747,1428,1709.441165
-1202.123097,1428,1721.86547
-1367.210025,1428,1734.288866
-1265.476638,1428,1746.720946
-2053.105461,1428,1759.04563
-1195.243031,1428,1771.426589
-1605.250252,1428,1783.340068
-1367.401195,1428,1795.275407
-1478.16937,1428,1807.287119
-1136.055482,1428,1819.370571
-2170.994056,1428,1831.340444
-1101.598963,1428,1843.352443
-1143.075477,1428,1855.356909
-1340.936703,1428,1867.268938
-1699.151154,1428,1879.252073
-1561.574579,1428,1891.213075
-1327.484105,1428,1903.127263
-1723.906784,1428,1915.065416
-1499.54059,1428,1926.945444
-1250.959141,1428,1938.879146
-1433.076897,1428,1950.679302
-1163.349489,1428,1962.417072
-1915.962572,1428,1974.194103
-869.071863,1428,1985.901218
-1835.694552,1428,1997.511992
-1370.011163,1428,2009.218292
-1106.232115,1428,2020.915569
-1590.732087,1428,2032.707879
-1444.859421,1428,2044.17994
-1643.756283,1428,2055.293358
-1219.592661,1428,2066.556268
-1574.578697,1428,2077.755189
-1464.345292,1428,2088.873394
-952.355545,1428,2099.977059
-1834.316296,1428,2111.081987
-1625.597448,1428,2122.272748
-1228.943073,1428,2133.41189
-1501.352104,1428,2144.634329
-1410.32056,1428,2155.802693
-1677.775313,1428,2167.146575
-1351.49268,1428,2178.416409
-1252.194788,1428,2189.681951
-1186.621488,1428,2200.945986
-977.722977,1428,2212.64275
-1223.899054,1428,2224.398079
-1572.818325,1428,2236.121785
-1448.739743,1428,2247.867524
-863.168263,1428,2259.505185
-1399.997231,1428,2271.145011
-1823.92188,1428,2282.721497
-1959.373845,1428,2294.349327
-1619.099308,1428,2306.018818
-1556.77065,1428,2317.792942
-1252.204589,1428,2329.528241
-1473.704463,1428,2341.125067
-1595.989604,1428,2352.748563
-1683.408485,1428,2364.444839
-1842.288064,1428,2376.198111
-2168.612965,1428,2387.78376
-1137.03617,1428,2399.390426
-1716.939474,1428,2410.976454
-1265.418135,1428,2422.968838
-808.774818,1428,2435.25129
-1535.406167,1428,2447.911993
-1117.509409,1428,2461.328206
-1434.23999,1428,2474.693368
-2075.187781,1428,2487.943656
-1964.031924,1428,2501.316022
-1356.725199,1428,2513.657715
-1003.115864,1428,2525.852311
-1518.446243,1428,2538.200316
-1548.13103,1428,2550.578979
-1744.440669,1428,2562.997381
-1348.970433,1428,2575.269116
-1032.929844,1428,2587.531313
-1774.722135,1428,2599.820658
-1695.744118,1428,2612.289927
-1501.842698,1428,2624.55488
-840.018712,1428,2636.891224
-1748.140472,1428,2649.106129
-1352.021841,1428,2661.31033
-1030.264376,1428,2673.43883
-2130.318723,1428,2685.66911
-1276.304864,1428,2697.895983
-1465.910552,1428,2710.140588
-1679.933946,1428,2722.437721
-1640.506549,1428,2734.703515
-1400.313182,1428,2746.864375
-1436.489532,1428,2759.116045
-1684.613594,1428,2771.281777
-1462.864729,1428,2783.39168
-1333.771675,1428,2795.518368
-1643.394206,1428,2807.746469
-1402.490168,1428,2819.783388
-1802.816385,1428,2831.383722
-1955.408533,1428,2843.117516
-1120.885058,1428,2855.1397
-1312.546856,1428,2867.216807
-1148.247662,1428,2879.217047
-1350.285858,1428,2891.251553
-1733.593744,1428,2903.265685
-1276.215325,1428,2915.353556
-1265.968702,1428,2927.281193
-1278.122219,1428,2939.165292
-1198.466509,1428,2950.781054
-1126.615534,1428,2962.640748
-1598.750596,1428,2974.453292
-1489.437811,1428,2986.234633
-1942.49928,1428,2997.893088
-1173.12326,1428,3009.734846
-1692.055147,1428,3021.460979
-1925.327101,1428,3033.15162
-834.478771,1428,3044.780557
-1501.914388,1428,3056.561869
-1716.157907,1428,3068.335232
-1308.215008,1428,3079.936537
-1570.005273,1428,3091.576304
-1189.41675,1428,3103.242841
-1269.423149,1428,3115.230681
-1340.765448,1428,3126.972243
-1436.584874,1428,3138.720496
-1083.222485,1428,3150.448479
-1637.176946,1428,3161.833837
-1099.806604,1428,3173.21139
-766.760667,1428,3184.742965
-1886.375407,1428,3196.269294
-1390.304167,1428,3207.841371
-1190.320642,1428,3219.487588
-1262.648524,1428,3231.04864
-1558.497086,1428,3242.607119
-1085.457583,1428,3254.160867
-952.578825,1428,3265.793084
-1330.039137,1428,3277.25593
-1478.522954,1428,3288.730385
-1802.291118,1428,3300.229656
-1670.433986,1428,3311.796263
-1349.609292,1428,3323.309099
-1165.275716,1428,3334.855084
-1314.15142,1428,3346.473679
-1369.949832,1428,3357.947218
-1134.737566,1428,3369.587913
-841.905623,1428,3381.099897
-1234.504216,1428,3392.708144
-1618.876787,1428,3404.351799
-2129.305179,1428,3415.888916
-1570.938307,1428,3427.376502
-1761.48333,1428,3438.761225
-1939.584332,1428,3450.193682
-1314.800456,1428,3461.614621
-841.311211,1428,3473.027669
-1227.357204,1428,3484.528518
-1671.160855,1428,3495.988714
-1148.789824,1428,3507.526723
-1401.058092,1428,3518.993483
-774.921356,1428,3530.501281
-1135.469142,1428,3542.050709
-1579.224142,1428,3553.453086
-1528.988184,1428,3564.828044
-1666.218806,1428,3576.247628
-1309.293211,1428,3587.629032
-940.117818,1428,3599.159263
-1555.176741,1428,3610.708389
