#{"t_start": 1746161698.9439378, "env_id": null}
r,l,t
-1309.709125,1428,2522.465533
-1093.484191,1428,2534.742427
-1007.571732,1428,2546.915998
-774.520754,1428,2559.1475
-1410.602147,1428,2571.384047
-1984.739154,1428,2583.386336
-951.162324,1428,2595.451696
-995.063812,1428,2607.600986
-1331.504188,1428,2619.791158
-683.286499,1428,2631.989068
-1816.876747,1428,2644.294441
-634.07219,1428,2656.600573
-1392.729726,1428,2668.785086
-555.53788,1428,2681.21003
-1030.196437,1428,2693.440522
-1818.536134,1428,2705.609069
-1369.773185,1428,2717.694404
-896.965394,1428,2729.996645
-1295.597605,1428,2742.309603
-1199.955758,1428,2754.718152
-1253.174738,1428,2766.971592
-1065.793404,1428,2779.420606
-809.472644,1428,2791.69905
-592.441946,1428,2803.997445
-1297.486816,1428,2816.132793
-1056.757097,1428,2828.337264
-1861.216496,1428,2840.586392
-1072.156494,1428,2852.948259
-654.314346,1428,2865.256713
-864.017144,1428,2877.522441
-2000.668714,1428,2889.929746
-1486.644682,1428,2902.200145
-1240.243931,1428,2914.648085
-939.51336,1428,2926.988925
-841.875805,1428,2939.454423
-1219.265598,1428,2951.810928
-731.567809,1428,2963.944506
-396.972654,1428,2976.238864
-763.697624,1428,2988.430923
-1468.969833,1428,3000.651528
-588.896838,1428,3012.722957
-946.936794,1428,3024.796297
-1151.806209,1428,3037.054623
-311.297354,1428,3049.327454
-760.710259,1428,3061.516742
-2423.998934,1428,3073.845336
-1426.210591,1428,3085.992059
-1488.776537,1428,3098.393066
-1000.618134,1428,3110.645939
-503.0865,1428,3123.274167
-1273.591585,1428,3135.614988
-615.490622,1428,3147.911096
-1269.40417,1428,3160.191662
-935.043248,1428,3172.563051
-1283.697501,1428,3184.710645
-819.374942,1428,3196.94741
-486.132801,1428,3209.173968
-891.001092,1428,3221.27999
-612.625409,1428,3233.536387
-937.600769,1428,3245.693536
-778.026723,1428,3257.959687
-1254.245244,1428,3270.239398
-695.104288,1428,3282.370166
-573.551718,1428,3294.816103
-531.606946,1428,3307.043669
-363.053277,1428,3319.475825
-1097.748872,1428,3331.807828
-1067.083893,1428,3344.165479
-1497.542457,1428,3356.399502
-851.217083,1428,3368.588324
-1122.865246,1428,3381.055475
-860.509753,1428,3393.206203
-728.469913,1428,3405.5059
-1339.864141,1428,3417.839357
-974.807652,1428,3430.129895
-690.021086,1428,3442.514735
-664.972908,1428,3454.720448
-1344.843622,1428,3466.871956
-579.714641,1428,3479.364207
-728.365078,1428,3491.828047
-1054.194014,1428,3503.930648
-689.742007,1428,3516.185435
-1201.825678,1428,3528.499763
-661.527839,1428,3540.955527
-994.736194,1428,3553.279287
-739.828987,1428,3565.513795
-306.319004,1428,3577.733656
-388.115448,1428,3589.932261
-359.089007,1428,3602.200728
-908.520957,1428,3614.418926
-572.267365,1428,3626.648917
-737.688147,1428,3639.055951
-810.168598,1428,3651.613286
-1398.116474,1428,3663.98064
-1181.484929,1428,3676.240886
-1572.756422,1428,3688.463667
-1091.955567,1428,3701.001306
-737.160963,1428,3713.340722
-660.30604,1428,3725.609205
-1029.311348,1428,3738.079957
-1264.189644,1428,3750.629545
-692.943439,1428,3763.03909
-510.065038,1428,3775.364441
-1486.633417,1428,3787.691744
-1207.141925,1428,3800.236859
-2078.350613,1428,3812.877091
-1531.323627,1428,3825.286184
-485.399186,1428,3837.714067
-492.485284,1428,3850.20477
-718.284431,1428,3862.554551
-717.371097,1428,3874.948304
-635.765876,1428,3887.276942
-657.593314,1428,3899.676847
-812.90453,1428,3912.15392
-718.61276,1428,3924.542749
-916.239054,1428,3936.993202
-1135.178012,1428,3949.207793
-765.685994,1428,3961.454841
-885.127882,1428,3973.728704
-877.944967,1428,3986.020954
-671.63089,1428,3998.238432
-641.598284,1428,4010.478792
-773.646089,1428,4022.701295
-711.423387,1428,4034.942312
-797.242899,1428,4047.254966
-1123.218476,1428,4059.561146
-779.230865,1428,4071.920786
-749.783129,1428,4084.20795
-717.98052,1428,4096.625809
-852.880272,1428,4108.937185
-1034.273467,1428,4121.459506
-904.647257,1428,4133.93803
-534.013412,1428,4146.281998
-737.118256,1428,4158.60178
-1061.415128,1428,4170.9368
-998.774355,1428,4183.272656
-749.491689,1428,4195.450199
-443.289042,1428,4207.576947
-583.922765,1428,4219.583097
-419.016246,1428,4231.903791
-243.168288,1428,4244.026351
-996.067365,1428,4256.381727
-759.388023,1428,4268.757194
-664.909554,1428,4281.000748
-640.210768,1428,4293.331881
-976.925351,1428,4305.610705
-727.44178,1428,4317.7228
-980.71311,1428,4329.965503
-579.378633,1428,4342.135399
-552.542409,1428,4354.382555
-1035.299604,1428,4367.007201
-345.323185,1428,4379.289031
-1058.332297,1428,4391.785759
-977.896546,1428,4404.13901
-936.681274,1428,4416.32971
-846.215924,1428,4428.468672
-1428.421281,1428,4440.677275
-929.001191,1428,4453.127376
-256.969821,1428,4465.482054
-629.640528,1428,4477.68462
-829.387054,1428,4489.927205
-952.869833,1428,4502.408748
-1349.945725,1428,4514.659721
-1066.951969,1428,4526.894437
-804.195919,1428,4539.157452
-1158.95488,1428,4551.583079
-857.07085,1428,4564.212025
-1097.659043,1428,4576.497628
-1355.381752,1428,4588.697675
-1060.010481,1428,4600.872853
-792.765209,1428,4613.281257
-1023.31711,1428,4625.409981
-566.5755,1428,4637.806572
-661.194544,1428,4650.105384
-1101.362891,1428,4662.395463
-526.232839,1428,4674.86715
-800.818798,1428,4687.186364
-1022.378131,1428,4699.505393
-1174.7228,1428,4711.858991
-944.077326,1428,4724.140244
-1102.03111,1428,4736.38642
-1168.799767,1428,4748.775317
-724.109765,1428,4761.12494
-618.610759,1428,4773.542774
-1163.132206,1428,4785.976575
-455.271447,1428,4798.310755
-839.359407,1428,4810.684114
-550.657886,1428,4822.970792
-705.544285,1428,4835.435419
-851.903055,1428,4847.849234
-629.214741,1428,4860.388205
-759.268501,1428,4872.617857
-785.493608,1428,4885.03108
-310.188227,1428,4897.285185
-480.602897,1428,4909.543596
-495.486204,1428,4921.634468
-834.567842,1428,4934.072121
-783.594339,1428,4946.269172
-779.599313,1428,4958.422355
-687.31746,1428,4970.749204
-1564.788032,1428,4982.960929
-1537.967162,1428,4995.189389
-797.223346,1428,5007.476879
-771.047065,1428,5019.585204
-1127.533913,1428,5031.899744
-893.666817,1428,5044.012554
-152.780042,1428,5056.297562
-1220.114194,1428,5068.606253
-744.518758,1428,5080.754828
-488.514978,1428,5092.862601
-362.494069,1428,5105.144886
